year,budget,fund,appropriation,Non Prop Tax Revenue,Approp Fund Balance,Amount To Be Raised By Taxes
2006-2007,tentative,General Fund,,,,
2006-2007,tentative,Capital Projects,,,,
2006-2007,tentative,Public Library,,,,
2006-2007,tentative,INT SVCE CEN GAR,,,,
2006-2007,tentative,Pool,,,,
2006-2007,tentative,Water,,,,
2007-2008,adopted,General Fund,,,,
2007-2008,adopted,Capital Projects,,,,
2007-2008,adopted,Public Library,,,,
2007-2008,adopted,INT SVCE CEN GAR,,,,
2007-2008,adopted,Pool,,,,
2007-2008,adopted,Water,,,,
2008-2009,adopted,General Fund,,,,
2008-2009,adopted,Capital Projects,,,,
2008-2009,adopted,Public Library,,,,
2008-2009,adopted,INT SVCE CEN GAR,,,,
2008-2009,adopted,Pool,,,,
2008-2009,adopted,Water,,,,
2009-2010,tentative,General Fund,,,,
2009-2010,tentative,Capital Projects,,,,
2009-2010,tentative,Public Library,,,,
2009-2010,tentative,INT SVCE CEN GAR,,,,
2009-2010,tentative,Pool,,,,
2009-2010,tentative,Water,,,,
2009-2010,adopted,General Fund,,,,
2009-2010,adopted,Capital Projects,,,,
2009-2010,adopted,Public Library,,,,
2009-2010,adopted,INT SVCE CEN GAR,,,,
2009-2010,adopted,Pool,,,,
2009-2010,adopted,Water,,,,
2010-2011,tentative,General Fund,,,,
2010-2011,tentative,Capital Projects,,,,
2010-2011,tentative,Public Library,,,,
2010-2011,tentative,INT SVCE CEN GAR,,,,
2010-2011,tentative,Pool,,,,
2010-2011,tentative,Water,,,,
2011-2012,tentative,General Fund,,,,
2011-2012,tentative,Capital Projects,,,,
2011-2012,tentative,Public Library,,,,
2011-2012,tentative,INT SVCE CEN GAR,,,,
2011-2012,tentative,Pool,,,,
2011-2012,tentative,Water,,,,
2011-2012,adopted,General Fund,46955697,13977587,1073000,31905110
2011-2012,adopted,Capital Projects,7411570,7011570,400000,0
2011-2012,adopted,Public Library,3559095,3463995,95100,0
2011-2012,adopted,INT SVCE CEN GAR,3007956,2784456,223500,0
2011-2012,adopted,Pool,1086751,1098535,-11784,0
2011-2012,adopted,Water,13042122,5623650,7418472,0
2012-2013,tentative,General Fund,,,,
2012-2013,tentative,Capital Projects,,,,
2012-2013,tentative,Public Library,,,,
2012-2013,tentative,INT SVCE CEN GAR,,,,
2012-2013,tentative,Pool,,,,
2012-2013,tentative,Water,,,,
2012-2013,adopted,General Fund,,,,
2012-2013,adopted,Capital Projects,,,,
2012-2013,adopted,Public Library,,,,
2012-2013,adopted,INT SVCE CEN GAR,,,,
2012-2013,adopted,Pool,,,,
2012-2013,adopted,Water,,,,
